phase,t_s,overhang_cm,r_m,rdot_m_s,theta_deg,theta_dot_rad_s,alpha_deg,alpha_dot_rad_s,normal_per_mass_m_s2,friction_per_mass_m_s2,normal_N,friction_N,y_cm_m,y_nearest_edge_m
no_slip,0.0,1.1,0.01277693233918064,0.0,0.0,0.0,0.0,0.0,8.664538780721353,-0.6709543568464738,,,0.006500000000000001,0.006500000000000001
no_slip,0.000989444331,1.1,0.01277693233918064,0.0,0.0028950571921756776,0.10213516796482801,0.0028950571921756776,0.10213516796482801,8.664437062139507,-0.6703644644281559,,,0.0064994441806222325,0.006496867238341442
no_slip,0.001978888661,1.1,0.01277693233918064,0.0,0.011580401621249825,0.20427643407016544,0.011580401621249825,0.20427643407016544,8.664131755442469,-0.6685947211326898,,,0.0064977765897426725,0.006487468666826155
no_slip,0.002968332992,1.1,0.01277693233918064,0.0,0.026056551819146928,0.30642989400066545,0.026056551819146928,0.30642989400066545,8.663622407749003,-0.6656449289249531,,,0.006494996829182935,0.0064718034263134125
no_slip,0.003957777322,1.1,0.01277693233918064,0.0,0.04632437168587335,0.40860163749486017,0.04632437168587335,0.40860163749486017,8.662908264176204,-0.6615147580822834,,,0.0064911042355587385,0.0064498700867495085
no_slip,0.004947221653,1.1,0.01277693233918064,0.0,0.07238507021434572,0.5107977463994814,0.07238507021434572,0.5107977463994814,8.66198826771138,-0.6562037476568909,,,0.006486097880610579,0.006421666649719165
no_slip,0.005936665983,1.1,0.01277693233918064,0.0,0.10424020077700107,0.6130242910655795,0.10424020077700107,0.6130242910655795,8.660861059044901,-0.6497113061907795,,,0.006479976571730606,0.006387190552375822
no_slip,0.006926110314,1.1,0.01277693233918064,0.0,0.14189166062930794,0.7152873283889629,0.14189166062930794,0.7152873283889629,8.659524976341602,-0.642036712550302,,,0.00647273885256075,0.0063464386720450475
no_slip,0.007915554644,1.1,0.01277693233918064,0.0,0.18534168978677884,0.8175928981876002,0.18534168978677884,0.8175928981876002,8.657978054981394,-0.6331791170530628,,,0.006464383003825279,0.006299407332417897
no_slip,0.008904998975,1.1,0.01277693233918064,0.0,0.2345928703051423,0.9199470212202834,0.2345928703051423,0.9199470212202834,8.656218027233654,-0.6231375426783458,,,0.006454907044201317,0.0062460923102248605
no_slip,0.009894443305,1.1,0.01277693233918064,0.0,0.28964812474516605,1.02235569553704,0.28964812474516605,1.02235569553704,8.654242321909976,-0.6119108866106173,,,0.006444308731463244,0.0061864888437151485
