overhang_cm,slip_time_s,slip_angle_deg,slip_omega_rad_s,liftoff_phase,liftoff_time_s,liftoff_angle_deg,freefall_angular_velocity_rad_s,liftoff_y_m,liftoff_y_dot_m_s,freefall_time_s,total_landing_time_s,landing_total_angle_deg,landing_total_angle_mod_deg,landing_side,r_liftoff_m,rdot_liftoff_m_s,theta_liftoff_deg,theta_dot_liftoff_rad_s,friction_sign,paper_measured_omega_rad_s,paper_sigma_rad_s,omega_error_rad_s
0.1,0.2172349357026903,18.607588008520608,3.737763993045812,slip,0.3236367991662911,51.537985328364904,7.061244094003365,-0.008246540865943125,-0.4248709169115233,0.347903672131711,0.6715404712980021,192.2926737239794,192.2926737239794,Down,0.016987734964949736,0.3775725393362756,110.29519888262841,16.266097150556956,1.0,6.93,0.26,0.13124409400336567
0.3,0.13628460892938482,18.568686617899974,5.215052956048594,slip,0.21902439781600538,51.73744019039452,8.356530382885907,-0.005774864670929643,-0.37102744124961784,0.3480118930168299,0.5670362908328352,218.36341945921774,218.36341945921774,Down,0.014072428160717083,0.29797341851193604,89.45277096936226,19.383634664369826,1.0,8.8,0.24,-0.4434696171140935
0.55,0.10246556577307955,17.961321760575338,6.43210824785806,slip,0.1702652107780077,50.757773299840174,9.783269545083822,-0.005251169035157715,-0.34483239068402427,0.34668809781233884,0.5169533085903465,245.09033863643006,245.09033863643006,Down,0.013726121895880353,0.2510586307071229,72.25645620892043,19.617303632103916,1.0,10.03,0.34,-0.24673045491617707
0.8500000000000001,0.08203692762820057,16.672687527175167,7.306844184856605,slip,0.1407304662147378,48.93359554382434,11.02822437404011,-0.005983573270939719,-0.34561791113984963,0.3451674153674937,0.48589788158223146,267.0347761050603,267.0347761050603,Down,0.015073411309965614,0.23101385448699563,60.79375924739116,18.35315627600381,1.0,10.9,0.36,0.12822437404011033
1.1,0.07123999179741762,15.362726786352809,7.684589519678515,slip,0.1258327472332483,47.229340732475194,11.725220255598739,-0.00698513170193791,-0.3599325758181755,0.3436953316240352,0.46952807885728354,278.12580107129247,278.12580107129247,Up,0.016833936591706723,0.22662322208698008,55.09498209233774,17.360366309419152,1.0,11.57,0.37,0.15522025559873853
1.3,0.0647608577831538,14.271743676004073,7.8168773309628,slip,0.1173606063227304,45.86313236523952,12.104302920210383,-0.007881756069416062,-0.37628242403973755,0.34217359376327455,0.459534200086005,283.169235238094,283.169235238094,Up,0.018470831158894432,0.22704823524092158,51.824232330391965,16.725626698568387,1.0,12.2,0.67,-0.09569707978961617
1.6,0.05732614575731378,12.682894880305897,7.811424525090394,slip,0.10828129639831778,43.919215778157835,12.442769243474547,-0.009287881328721858,-0.4053212213519062,0.33930182809705095,0.44758312449536874,285.8136518037101,285.8136518037101,Up,0.021162892379589314,0.23146807247519827,48.14162309541797,15.972737591692148,1.0,12.47,0.62,-0.02723075652545326
1.8500000000000003,0.05257972641304232,11.462797616878229,7.677636965392163,slip,0.10298427483332755,42.44766951670754,12.56550578627914,-0.010481109841226894,-0.4316484900936676,0.3365288723790579,0.43951314721238544,284.73178228781376,284.73178228781376,Up,0.023550779151528034,0.23731818658213308,45.785085284204655,15.459109911198897,1.0,12.57,0.37,-0.004494213720860785
2.1,0.04876963712177645,10.362406912847186,7.469163217338062,slip,0.09912654184282062,41.13003007644938,12.583606325321803,-0.011682258165312027,-0.45870966119505097,0.3336075560982326,0.4327340979410532,281.65691910303104,281.65691910303104,Up,0.026028289298523948,0.24440613010710305,43.86713732547567,15.005288326588413,1.0,12.17,0.31,0.41360632532180297
2.3,0.04623769247889402,9.571086503627573,7.268503805176837,slip,0.09682170522682182,40.18661065741417,12.542469295282206,-0.012647360485947447,-0.480425597258689,0.33127121320945896,0.4280929184362808,278.2482265584135,278.2482265584135,Up,0.02805845961103604,0.250680187492266,42.57258912421941,14.670037498977052,1.0,12.43,0.55,0.11246929528220662
