overhang_cm,slip_time_s,slip_angle_deg,slip_omega_rad_s,liftoff_phase,liftoff_time_s,liftoff_angle_deg,freefall_angular_velocity_rad_s,liftoff_y_m,liftoff_y_dot_m_s,freefall_time_s,total_landing_time_s,landing_total_angle_deg,landing_total_angle_mod_deg,landing_side,r_liftoff_m,rdot_liftoff_m_s,theta_liftoff_deg,theta_dot_liftoff_rad_s,friction_sign
0.05,0.28131486512505877,18.54530976590125,3.246192719383472,slip,0.397024164318889,51.15666012378955,6.773477380450856,-0.009370512069405871,-0.4438775430080601,0.34733995725183814,0.7443641215707271,185.95640298512885,185.95640298512885,Down,0.01844826303926959,0.40402013147697247,116.12765026958658,15.0184332481887,1.0
0.1,0.2172349357026903,18.607588008520608,3.737763993045812,slip,0.3236367991662911,51.537985328364904,7.061244094003365,-0.008246540865943125,-0.4248709169115233,0.347903672131711,0.6715404712980021,192.2926737239794,192.2926737239794,Down,0.016987734964949736,0.3775725393362756,110.29519888262841,16.266097150556956,1.0
0.15000000000000002,0.1842590659703564,18.64022073499141,4.168049312781507,slip,0.2830863959946219,51.74187337765413,7.37791508881228,-0.007351563921154693,-0.4079349474006769,0.34819163324302943,0.6312780292376513,198.93062310877275,198.93062310877275,Down,0.015879298269566217,0.353332514319931,104.58400157749344,17.360827216263804,1.0
0.2,0.16306253776077118,18.643945817514414,4.552261184632359,slip,0.25560133502999494,51.822208616466526,7.705808112553859,-0.006662601394423826,-0.39336827016599807,0.3482657540269127,0.6038670890569076,205.58512009226578,205.58512009226578,Down,0.015061278878758366,0.3319637451014896,99.15222569348238,18.2505409652169,1.0
0.25,0.1478854318340443,18.619718902016576,4.899340146123547,slip,0.23513041300322277,51.81324776172608,8.034203128869251,-0.006147508272257417,-0.38112778135797554,0.34818829795241374,0.5833187109556365,212.09335019216596,212.09335019216596,Down,0.01447528002064617,0.31356930050776344,94.09353897410007,18.92082318013659,1.0
0.3,0.13628460892938482,18.568686617899974,5.215052956048594,slip,0.21902439781600538,51.73744019039452,8.356530382885907,-0.005774864670929643,-0.37102744124961784,0.3480118930168299,0.5670362908328352,218.36341945921774,218.36341945921774,Down,0.014072428160717083,0.29797341851193604,89.45277096936226,19.383634664369826,1.0
0.35000000000000003,0.12701624861444247,18.492158083654125,5.503383735549403,slip,0.20588713375560827,51.609959974652845,8.66879578535086,-0.0055173952395647435,-0.3628357206641717,0.3477767715061942,0.5536639052618024,224.34560900081266,224.34560900081266,Down,0.013814065250466821,0.2848773112549626,85.24017966850406,19.66573636729572,1.0
0.4,0.11937003890375737,18.391575658254446,5.767241030293686,slip,0.19489270238942497,51.4414236903721,8.968629682814708,-0.005352619524615664,-0.3563209022187708,0.34751149160055583,0.5424041939899809,230.01528733968686,230.01528733968686,Down,0.01367040936792507,0.2739460645407214,81.44334382299712,19.79960511810157,1.0
0.45000000000000007,0.11290663941361317,18.268485797082683,6.008849916101501,slip,0.18551238541275528,51.23954279503219,9.254696572187967,-0.005262444212271199,-0.35126999663733754,0.34723493441413245,0.5327473198268877,235.3626217839602,235.3626217839602,Down,0.013618743951034672,0.2648547308783008,78.03626487383106,19.81756618206606,1.0
0.5,0.10733779505569355,18.12451075622724,6.229983808642091,slip,0.17738778864742893,51.01013868876784,9.526324379700545,-0.005232449157655721,-0.34749484943931097,0.34695850416245466,0.5243462928098837,240.3863983928001,240.3863983928001,Down,0.013641744641876364,0.2573101233679737,74.98587848257839,19.74864768078869,1.0
0.55,0.10246556577307955,17.961321760575338,6.43210824785806,slip,0.1702652107780077,50.757773299840174,9.783269545083822,-0.005251169035157715,-0.34483239068402427,0.34668809781233884,0.5169533085903465,245.09033863643006,245.09033863643006,Down,0.013726121895880353,0.2510586307071229,72.25645620892043,19.617303632103916,1.0
0.6000000000000001,0.09814900139876839,17.780614118005367,6.6164733820930355,slip,0.16395884630799878,50.48614575900269,10.025566778421817,-0.005309472858843048,-0.3431424726915084,0.34642571871302813,0.5103845650210269,249.48092985212574,249.48092985212574,Down,0.013861583898431281,0.24588648816060596,69.8124195469866,19.443242903057456,1.0
0.6500000000000001,0.0942847049731555,17.584084631559424,6.784175103996732,slip,0.15832882315146052,50.198345314295565,10.253431983629149,-0.005400061262521602,-0.34230493900131476,0.3461707385809618,0.5044995617324224,253.56616939142796,253.56616939142796,Down,0.014040067448100785,0.24161638590692863,67.62002110023705,19.241823854813056,1.0
